Directory,File Count
emergency sounds,0
emergency sounds/Battle cry,951
emergency sounds/Vehicle horn,1812
emergency sounds/Scrape,2052
emergency sounds/Machine gun,1039
emergency sounds/Explosion,1065
emergency sounds/Train horn,1129
emergency sounds/Whip,1166
emergency sounds/Motor vehicle (road),1059
emergency sounds/Tire squeal,1004
emergency sounds/Alarm,1397
emergency sounds/Reversing beeps,1603
emergency sounds/Gunshot,2653
emergency sounds/Firecracker,858
emergency sounds/Gasp,1398
emergency sounds/Screaming,1278
normal sounds,0
normal sounds/Tick,2852
normal sounds/Mechanisms,1046
normal sounds/Wind,1029
normal sounds/Generic impact sounds,3719
normal sounds/Female speech,2608
normal sounds/Bird vocalization,3401
normal sounds/Breathing,1974
normal sounds/Wind noise (microphone),2484
normal sounds/Human voice,1825
normal sounds/Child speech,2527
normal sounds/Walk,3678
normal sounds/Tap,2118
normal sounds/Surface contact,2194
normal sounds/Sound effect,2304
normal sounds/Male speech,2983
normal sounds/Background noise,1065
normal sounds/Laughter,1811
normal sounds/Music,1135
